userName,reviewId,content,score,at,pred_class,pred_pos,pred_neg
Putrada Bastanta,4e319d72-185d-40a0-93e4-ae6e46ddc68e,"Aplikasinya sangat lambat dan sering ngefreeze padahal aplikasi lainnya di hp saya lancar. Speed juga kencang. Mau belanja juga nunggu loading imagenya lama amat, jadi malas belanja. Sudah coba clear data dan cache bahkan instal ulang sama aja. Tolong kestabilan aplikasinya diperbaiki. Overall sistem belanja sudah baik hanya masalah aplikasi yang belum stabil",2,2022-08-07 14:41:30,Neg,0.0%,100.0%
Herman,c0d4a326-ccc4-4daf-92aa-89388d74d3f3,"Aplikasi ini memang terjadi kepada penguna , suka ngelag pas scrol , berat , bug , error , dari dulu sampai sekarang , di komplen punya tak pernah di perbaiki kendala nya ... Khusus nya pada penguna androi , dan banyak yang komplen hal serupa , tapi tak ad juga perubahan",1,2022-08-04 15:44:14,Neg,0.92%,99.08%
Emma Juniarti,cc8bfb7b-7293-43f4-b219-7f668d4e2fb0,"Hal ini cuma kualami saat buka shopee. Aplikasi sering ngelag, ngefreeze, loading page atau gambar lama, udh scroll sampai bawah tiba-tiba balik keatas lagi, banyak bug, sering error. Setelah diupate kupikir bakal lebih baik, tp saat klik produk/ulasan yg muncul malah blank page.",2,2022-08-14 01:17:46,Neg,4.46%,95.54%
Yanuar Syaiful,00f5f7ac-b158-40e1-b1e0-e552a0b14036,"Terlalu banyak fitur ga guna, saran kalo mau ngembangin di segmen yang berbeda harusnya bikin aplikasi baru, bukannya maksain di 1 aplikasi.. Aplikasi jadi sering ngefreeze, dan koneksi lemot.. Entah entah karena server / aplikasinya, intinya pengguna yang jadi makin terganggu untuk transaksi... Mohon segera diperbaiki, karena banyak keluhan yang sama.",1,2022-08-18 11:52:53,Neg,0.0%,100.0%
Cintya Adelya,7cf91db2-b474-4530-a0e6-9cd8734c7f5a,"Aplikasinya setelah di update suka ngelag mau kembali ke menu utama aja lama bngt, buka komentar toko aja pas mau liat gambar harus di klik berkali² baru bisa, server eror lah segala macem. Dulu ga gitu banget, Padahal hp speknya udh bagus baru ganti malah. Cache pun sudah dihapus ujung²nya sama aja, masa tiap buka toko beda² harus cache dihapus terus. KECEWA!!",1,2022-08-05 23:13:19,Neg,0.0%,100.0%
Ferdi Andrian,a476f192-1a88-4e08-852c-de03205c6213,"Hal ini cuma kualami saat buka shopee. Aplikasi sering ngelag, ngefreeze, loading page atau gambar lama, udh scroll sampai bawah tiba-tiba balik keatas lagi, sering error. Setelah diupate kupikir bakal lebih baik, tp saat klik produk/ulasan yg muncul malah blank page.",1,2022-08-20 03:16:06,Neg,8.11%,91.89%
Ridho Jauhari,dd3f4328-771f-481b-a2e4-5b649c16a00a,"dari dulu sampai sekarang ga ada bedanya tetep aja banyak bug nya dan sering lemot pas scrolling. apalagi bagian game nya, tiba tiba keluar sendiri dr aplikasi. oiya pas bagian checkout tolong supaya bisa memilih sendiri ekspedisi nya, jangan sistem acak kek sekarang ini. sering banget paket saya datang terlambat!!!",1,2022-08-07 23:39:25,Neg,0.0%,100.0%
Anwarudin Anwar,c96e5566-455b-4ae4-98f7-a372863b3d63,Makin ga nyaman dengan aplikasinya. Banyak iklan dan sekarang tambah adabmenu video yg menurut saya ga penting dan tambah berat. Terus untuk menu tambah kurir tidak bisa memilih kurir di awal. Jadi kayak belinkucing dalam karung. Kita baru bisa rubah kurir kalau sudah bayar. Utamakan pelanggan secara keseluruhan,1,2022-08-12 10:01:51,Neg,33.76%,66.24%
Fatima Sarah Aulia,2e67e76e-d693-45dd-9c73-33017adc816e,"Kenapa saran produk yang muncul selalu hal yang aneh? Saya tidak cari barang tersebut tapi selalu muncul, sudah di uninstal masih tetap seperti itu. Saya merasa risih jika produk tersebut muncul. Akhir² ini pun selalu ngelag, ngefreeze, aplikasi keluar sendiri, padahal jaringan bagus penyimpanan ponsel pun masih kosong. Tolong di tingkatkan lagi layanan dan tampilan yang muncul nya yaa...",1,2022-08-20 18:00:11,Neg,0.27%,99.73%
Ikki Rizcky,b81cb512-c51e-4e4f-85fa-2420330ff909,"Aplikasi setelah di update, saat mau pembayaran selalu terjadi kesalahan teknis, dicoba dalam 30 menit masih seperti itu dan terus²an. Udah dicoba diinstall ulang tetap sama. Emang dari aplikasi nya bermasalah! Tolong secepatnya di perbaiki.",4,2022-08-13 21:58:06,Neg,0.0%,100.0%
matilda selviana,ff22317f-cd30-449b-89da-3dfdc41a674d,"Maaf yah,saya kasih bintang 2 saja 🙏,masalahnya 1.Aplikasi ini susah sekali dibuka.loading sangat sangat lambat.berat sekali mau scroll.padahal aplikasi lain mudah sekali. 2. setiap pemesanan harus ada biaya penangan 3.metode pengiriman juga yg regular itu mahallllll sekali biayanya,mau pake pengiriman yg hemat itu baranhnya 1 bln lebih baru sampe 4.beli pulsa juga lamaaaaaaaaa sekali baru berhasil.pernah sampe 4 jam baru bisa.padahal saya sdh proses kirim uangnya ke rekening shopee.",2,2022-08-20 07:57:03,Neg,1.53%,98.47%
